Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GRC,Greece,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,72723.94,67615.81,75503.53,75646.54,78363.79,79185.20,80395.31,84572.02,87809.98,86636.54,91616.33,93805.53,93669.85,95738.04,97149.83,98675.30,97285.51,98213.26,97813.56,,,
GRD,Grenada,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,121.01,121.01,128.35,143.01,165.02,172.35,176.02,205.35,190.68,205.35,205.35,220.02,216.35,227.35,216.35,234.69,245.69,245.69,245.69,,,
GRL,Greenland,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,557.38,550.05,484.04,502.38,506.05,506.05,517.05,524.38,531.72,542.72,531.72,539.05,539.05,535.38,498.71,630.72,579.39,638.06,575.72,,,
GTM,Guatemala,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,5086.13,5053.13,6017.55,5658.18,6838.96,7165.32,6651.94,7598.02,8753.13,8929.15,9915.57,10626.97,11173.35,10670.97,11206.35,12156.11,12288.12,12926.18,11914.08,,,
GUM,Guam,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,1140.44,1122.10,1052.43,1056.10,1334.79,1481.47,1529.14,1602.48,1653.82,1650.15,1580.48,1518.14,1547.47,1521.81,1463.13,1514.47,1525.47,1525.47,1525.47,,,
HIC,High income,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,10605543.06,11763151.95,11821713.93,12122350.93,12251534.45,12327909.91,12637718.63,12744117.44,12658000.47,12631659.80,12883981.27,12800476.69,12896363.48,13132316.19,13347825.40,13387488.88,13353377.18,13422816.75,13284694.51,,,
HKG,"Hong Kong SAR, China",EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,27660.18,28892.29,33428.37,35129.86,31429.86,31620.54,29365.34,30854.14,39233.23,42753.55,40582.69,37971.79,36952.36,40065.64,38415.49,40549.69,38554.84,39962.97,38573.17,,,
HND,Honduras,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,2592.57,2698.91,3076.61,2849.26,3336.97,3879.69,3960.36,4158.38,4649.76,4741.43,5031.12,5713.19,6090.89,6769.28,7367.00,7620.03,7308.33,9035.49,8672.46,,,
HRV,Croatia,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,16442.83,16428.16,16875.53,17612.60,18518.35,19295.75,20417.86,20491.20,19644.12,20714.88,21877.32,23542.14,23047.10,23105.77,23175.44,24367.22,23303.79,,,
HTI,Haiti,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,993.76,997.42,909.42,663.73,300.69,942.42,1092.77,1422.80,1232.11,1331.12,1367.79,1569.48,1826.17,1734.49,1987.51,2075.52,2119.53,2398.22,2434.89,,,
HUN,Hungary,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,62991.73,63435.43,58716.00,60124.13,58066.95,60054.46,62702.03,61807.29,60853.87,60362.49,57256.54,57021.85,56031.76,59009.36,57311.54,57879.93,57227.20,55848.41,54638.30,,,
IDN,Indonesia,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,149565.93,179730.67,202576.08,218600.87,221413.46,224941.11,253290.69,278659.00,210210.78,237595.93,258120.13,289065.94,303506.59,311885.68,333733.67,336311.57,338134.07,368617.84,406028.58,,,
IMY,Isle of Man,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,,,,,,,,,,,,,,,,,,,,,,
IND,India,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,690576.77,737851.74,783634.23,814297.69,864931.62,920046.63,1002224.10,1043939.90,1071911.77,1144390.03,1186663.20,1203843.10,1226791.18,1281913.53,1346595.74,1411127.61,1504364.75,1612383.57,1742697.75,,,
IRL,Ireland,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,30417.77,33109.34,31253.84,31286.84,32691.31,32892.99,35008.85,36552.66,38140.47,40098.65,40949.39,43780.31,43457.62,42694.88,43211.93,43211.93,43112.92,44411.04,43604.30,,,
IRN,"Iran, Islamic Rep.",EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,227185.32,233745.58,247471.16,229678.88,296744.64,284918.57,286645.72,290617.08,316176.07,316671.12,339241.50,357085.13,375211.11,412317.48,442471.22,458866.38,492349.76,506346.69,538403.61,,,
IRQ,Iraq,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,52555.44,47421.64,61671.61,66801.74,75045.16,77901.75,69500.65,68308.88,72371.91,72283.90,72445.25,85342.09,87259.93,91117.62,98979.66,97527.53,100853.50,100494.14,102936.36,,,
ISL,Iceland,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,2071.86,2024.18,1892.17,1991.18,2009.52,1939.84,2211.20,2104.86,2101.19,2068.19,2163.53,2101.19,2170.86,2167.20,2233.20,2203.87,2233.20,2339.55,2229.54,,,
ISR,Israel,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",0,1,33534.72,34315.79,41499.44,45148.10,47120.95,54234.93,54399.95,63402.43,62779.04,62155.65,62691.03,65749.31,63145.74,65122.25,63200.75,59211.05,65778.65,36816.68,37663.76,,,
