"fill","Country.code","Country.name","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","region2"
"二氧化碳排放总量","GRC","Greece",72723.94,67615.81,75503.53,75646.54,78363.79,79185.2,80395.31,84572.02,87809.98,86636.54,91616.33,93805.53,93669.85,95738.04,97149.83,98675.3,97285.51,98213.26,97813.56,"欧洲和中亚"
"二氧化碳排放总量","GRD","Grenada",121.01,121.01,128.35,143.01,165.02,172.35,176.02,205.35,190.68,205.35,205.35,220.02,216.35,227.35,216.35,234.69,245.69,245.69,245.69,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","GRL","Greenland",557.38,550.05,484.04,502.38,506.05,506.05,517.05,524.38,531.72,542.72,531.72,539.05,539.05,535.38,498.71,630.72,579.39,638.06,575.72,"欧洲和中亚"
"二氧化碳排放总量","GTM","Guatemala",5086.13,5053.13,6017.55,5658.18,6838.96,7165.32,6651.94,7598.02,8753.13,8929.15,9915.57,10626.97,11173.35,10670.97,11206.35,12156.11,12288.12,12926.18,11914.08,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","GUM","Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"东亚和太平洋地区"
"二氧化碳排放总量","GUY","Guyana",1140.44,1122.1,1052.43,1056.1,1334.79,1481.47,1529.14,1602.48,1653.82,1650.15,1580.48,1518.14,1547.47,1521.81,1463.13,1514.47,1525.47,1525.47,1525.47,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","HKG","Hong Kong SAR, China",27660.18,28892.29,33428.37,35129.86,31429.86,31620.54,29365.34,30854.14,39233.23,42753.55,40582.69,37971.79,36952.36,40065.64,38415.49,40549.69,38554.84,39962.97,38573.17,"东亚和太平洋地区"
"二氧化碳排放总量","HND","Honduras",2592.57,2698.91,3076.61,2849.26,3336.97,3879.69,3960.36,4158.38,4649.76,4741.43,5031.12,5713.19,6090.89,6769.28,7367,7620.03,7308.33,9035.49,8672.46,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","HRV","Croatia",NA,NA,16442.83,16428.16,16875.53,17612.6,18518.35,19295.75,20417.86,20491.2,19644.12,20714.88,21877.32,23542.14,23047.1,23105.77,23175.44,24367.22,23303.79,"欧洲和中亚"
"二氧化碳排放总量","HTI","Haiti",993.76,997.42,909.42,663.73,300.69,942.42,1092.77,1422.8,1232.11,1331.12,1367.79,1569.48,1826.17,1734.49,1987.51,2075.52,2119.53,2398.22,2434.89,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","HUN","Hungary",62991.73,63435.43,58716,60124.13,58066.95,60054.46,62702.03,61807.29,60853.87,60362.49,57256.54,57021.85,56031.76,59009.36,57311.54,57879.93,57227.2,55848.41,54638.3,"欧洲和中亚"
"二氧化碳排放总量","IDN","Indonesia",149565.93,179730.67,202576.08,218600.87,221413.46,224941.11,253290.69,278659,210210.78,237595.93,258120.13,289065.94,303506.59,311885.68,333733.67,336311.57,338134.07,368617.84,406028.58,"东亚和太平洋地区"
"二氧化碳排放总量","IMY","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"欧洲和中亚"
"二氧化碳排放总量","IND","India",690576.77,737851.74,783634.23,814297.69,864931.62,920046.63,1002224.1,1043939.9,1071911.77,1144390.03,1186663.2,1203843.1,1226791.18,1281913.53,1346595.74,1411127.61,1504364.75,1612383.57,1742697.75,"南亚"
"二氧化碳排放总量","IRL","Ireland",30417.77,33109.34,31253.84,31286.84,32691.31,32892.99,35008.85,36552.66,38140.47,40098.65,40949.39,43780.31,43457.62,42694.88,43211.93,43211.93,43112.92,44411.04,43604.3,"欧洲和中亚"
"二氧化碳排放总量","IRN","Iran, Islamic Rep.",227185.32,233745.58,247471.16,229678.88,296744.64,284918.57,286645.72,290617.08,316176.07,316671.12,339241.5,357085.13,375211.11,412317.48,442471.22,458866.38,492349.76,506346.69,538403.61,"中东和北非"
"二氧化碳排放总量","IRQ","Iraq",52555.44,47421.64,61671.61,66801.74,75045.16,77901.75,69500.65,68308.88,72371.91,72283.9,72445.25,85342.09,87259.93,91117.62,98979.66,97527.53,100853.5,100494.14,102936.36,"中东和北非"
"二氧化碳排放总量","ISL","Iceland",2071.86,2024.18,1892.17,1991.18,2009.52,1939.84,2211.2,2104.86,2101.19,2068.19,2163.53,2101.19,2170.86,2167.2,2233.2,2203.87,2233.2,2339.55,2229.54,"欧洲和中亚"
"二氧化碳排放总量","ISR","Israel",33534.72,34315.79,41499.44,45148.1,47120.95,54234.93,54399.95,63402.43,62779.04,62155.65,62691.03,65749.31,63145.74,65122.25,63200.75,59211.05,65778.65,36816.68,37663.76,"中东和北非"
"二氧化碳排放总量","ITA","Italy",424183.89,433974.78,432959.02,422680.42,412163.47,437623.45,428294.6,432302.63,441752.49,437018.39,446156.56,447054.97,449284.51,468349.24,470490.77,471400.18,468268.57,459376.09,445118.8,"欧洲和中亚"
"二氧化碳排放总量","JAM","Jamaica",7964.72,8173.74,8096.74,8415.77,8632.12,9702.88,10197.93,10630.63,9728.55,9772.56,10318.94,10626.97,10300.6,10722.31,10714.97,10128.25,12086.43,13894.26,12203.78,"拉丁美洲和加勒比海地区"
"二氧化碳排放总量","JOR","Jordan",10403.28,9798.22,12266.12,12101.1,13633.91,13556.9,14187.62,14418.64,14543.32,14568.99,15507.74,16002.79,16886.54,17469.59,19240.75,21026.58,20733.22,21495.95,21382.28,"中东和北非"
